name,name_en,name_local,bbox,center_lat,center_lon,osm_id,admin_level,ref,type
Bang Na District,Bang Na District,เขตบางนา,"100.5793424,13.6475079,100.6538264,13.6844243",0,0,3146412,6,,boundary
Min Buri District,Min Buri District,เขตมีนบุรี,"100.696745,13.7728269,100.8080074,13.8493058",0,0,3146413,6,,boundary
Prawet District,Prawet District,เขตประเวศ,"100.6340643,13.6561557,100.712403,13.7378513",0,0,3146414,6,,boundary
Saphan Sung District,Saphan Sung District,เขตสะพานสูง,"100.6590574,13.7324819,100.7166698,13.798282",0,0,3146415,6,,boundary
Phra Khanong District,Phra Khanong District,เขตพระโขนง,"100.5845032,13.6778989,100.6402033,13.7068928",0,0,3146642,6,,boundary
Suan Luang District,Suan Luang District,เขตสวนหลวง,"100.5980805,13.7007313,100.6592464,13.7500544",0,0,3146643,6,,boundary
Chom Thong District,Chom Thong District,เขตจอมทอง,"100.4346338,13.6590752,100.4890018,13.7179155",0,0,3147007,6,,boundary
Rat Burana District,Rat Burana District,เขตราษฎร์บูรณะ,"100.479293,13.653956,100.5228322,13.6953242",0,0,3147008,6,,boundary
Thung Khru District,Thung Khru District,เขตทุ่งครุ,"100.4698379,13.5968504,100.5210167,13.6643274",0,0,3147104,6,,boundary
Khlong San District,Khlong San District,เขตคลองสาน,"100.4921441,13.7051524,100.5127623,13.739312",0,0,3147280,6,,boundary
Thon Buri District,Thon Buri District,เขตธนบุรี,"100.467744,13.6948653,100.4984651,13.7423108",0,0,3147281,6,,boundary
Bang Bon District,Bang Bon District,เขตบางบอน,"100.3449524,13.6206335,100.446863,13.6937103",0,0,3147312,6,,boundary
Bang Khun Thian District,Bang Khun Thian District,เขตบางขุนเทียน,"100.3764821,13.4907286,100.4816378,13.682626",0,0,3147313,6,,boundary
Sathon District,Sathon District,เขตสาทร,"100.5081878,13.7008763,100.5536144,13.7260498",0,0,3147425,6,,boundary
Bang Kho Laem District,Bang Kho Laem District,เขตบางคอแหลม,"100.4898405,13.6827775,100.5310992,13.7123371",0,0,3147455,6,,boundary
Yan Nawa District,Yan Nawa District,เขตยานนาวา,"100.5169692,13.6690876,100.5549525,13.7192986",0,0,3147456,6,,boundary
Lat Krabang District,Lat Krabang District,เขตลาดกระบัง,"100.7065975,13.6894423,100.8789405,13.8004094",0,0,3147500,6,,boundary
Nong Chok District,Nong Chok District,เขตหนองจอก,"100.7873271,13.7378123,100.9386039,13.9462063",0,0,3147501,6,,boundary
Mueang Phayao District,Mueang Phayao District,อำเภอเมืองพะเยา,"99.6979961,18.8952278,100.0270593,19.4064126",0,0,3427220,6,,boundary
Kawthoung District,Kawthoung District,ကော့သောင်းခရိုင်,"97.4733149,9.526084,98.9233721,10.9302203",0,0,5996508,6,,boundary
Phra Nakhon Si Ayutthaya District,Phra Nakhon Si Ayutthaya District,อำเภอพระนครศรีอยุธยา,"100.4985717,14.2759843,100.6255881,14.4107507",0,0,10847506,6,,boundary
Phra Samut Chedi District,Phra Samut Chedi District,อำเภอพระสมุทรเจดีย์,"100.4444351,13.4976619,100.5945495,13.6185647",0,0,10958328,6,,boundary
Uthai District,Uthai District,อำเภออุทัย,"100.602338,14.2981506,100.7931956,14.4144034",0,0,10961615,6,,boundary
Wang Noi District,Wang Noi District,อำเภอวังน้อย,"100.6193525,14.1431055,100.8232715,14.3307212",0,0,10961616,6,,boundary
Bang Pa-in District,Bang Pa-in District,อำเภอบางปะอิน,"100.5187281,14.1276502,100.684472,14.3227743",0,0,10966250,6,,boundary
Bang Sai District,Bang Sai District,อำเภอบางไทร,"100.4092571,14.1074492,100.5804603,14.3288756",0,0,10985069,6,,boundary
Bang Ban District,Bang Ban District,อำเภอบางบาล,"100.414737,14.3103951,100.5219439,14.4658448",0,0,10989241,6,,boundary
Bang Pahan District,Bang Pahan District,อำเภอบางปะหัน,"100.4851788,14.4014552,100.5993356,14.5549105",0,0,10995901,6,,boundary
Nakhon Luang District,Nakhon Luang District,อำเภอนครหลวง,"100.5644864,14.3931781,100.6863177,14.5767824",0,0,11000842,6,,boundary
Tha Ruea District,Tha Ruea District,อำเภอท่าเรือ,"100.6003192,14.4718946,100.7823421,14.6030458",0,0,11007109,6,,boundary
Phachi District,Phachi District,อำเภอภาชี,"100.6462858,14.3618762,100.797109,14.4995059",0,0,11007110,6,,boundary
Maha Rat District,Maha Rat District,อำเภอมหาราช,"100.4788456,14.5188096,100.5985748,14.6433734",0,0,11007111,6,,boundary
Ban Phraek District,Ban Phraek District,อำเภอบ้านแพรก,"100.4960927,14.6169465,100.6033679,14.6785056",0,0,11014085,6,,boundary
Lat Bua Luang District,Lat Bua Luang District,อำเภอลาดบัวหลวง,"100.2126196,14.1131657,100.4671181,14.2198343",0,0,11016378,6,,boundary
Sena District,Sena District,อำเภอเสนา,"100.275296,14.205356,100.4414856,14.4094943",0,0,11019957,6,,boundary
Phak Hai District,Phak Hai District,อำเภอผักไห่,"100.2443956,14.3984104,100.4288498,14.5119903",0,0,11024881,6,,boundary
Bang Sai District,Bang Sai District,อำเภอบางซ้าย,"100.2313398,14.2113103,100.3576234,14.411244",0,0,11024893,6,,boundary
Bang Bo District,Bang Bo District,อำเภอบางบ่อ,"100.7697049,13.477563,100.9638955,13.6969942",0,0,11580980,6,,boundary
Bang Sao Thong District,Bang Sao Thong District,อำเภอบางเสาธง,"100.7623111,13.5484994,100.8594489,13.7166881",0,0,11580981,6,,boundary
Bang Phli District,Bang Phli District,อำเภอบางพลี,"100.6290516,13.5108849,100.7935992,13.7184898",0,0,11580982,6,,boundary
Mueang Samut Prakan District,Mueang Samut Prakan District,อำเภอเมืองสมุทรปราการ,"100.5512728,13.4908221,100.786861,13.6626943",0,0,11580983,6,,boundary
Phra Pradaeng District,Phra Pradaeng District,อำเภอพระประแดง,"100.5142207,13.598805,100.5933733,13.7064326",0,0,11580984,6,,boundary
